Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220374440","FERRULE 3/8\"","","","",122,18,"ELGI ROCD SPARES",0,0
"220374460","FERRULE 3/4\"","","","",143,18,"ELGI ROCD SPARES",0,0
"220374480","FERRULE 1 1/4\"","","","I63/E",285,18,"ELGI ROCD SPARES",0,0
"220374760","FILTER MOISTURE 1/2\"NPT HP","","","",9613,18,"ELGI ROCD SPARES",0,0
"220374810","VALVE; BALL; 1/4\"","","","I79/B",2433,18,"ELGI ROCD SPARES",0,1
"220375380","ELBOW; REDU; RUBBER; 8\"X7\"","","","I/67A",4322,18,"ELGI ROCD SPARES",0,0
"220375390","ELBOW; RUBBER; 2 1/4\"ID","","","",677,18,"ELGI ROCD SPARES",0,0
"220375400","ELBOW; RUBBER; 4\"NB","","","",1353,18,"ELGI ROCD SPARES",0,0
"220375410","ELBOW; RUBBER; 6\"","","","I79/A",2230,18,"ELGI ROCD SPARES",0,2
"220376030","GASKET; DCV","","",null,152,18,"ELGI ROCD SPARES",0,0
"220376211","COOLER ASSY; O/C & A/C;10-30","","",null,193701,18,"ELGI ROCD SPARES",0,0
"220376820","FLANGE; DCV ASSY; 20S","","",null,792,18,"ELGI ROCD SPARES",0,0
"220377200","HOUSING; THERMAL VALVE; M/C","","","",3093,18,"ELGI ROCD SPARES",0,0
"220377330","HEX;REDUCING;NIPPLE;1-1/4\"X1\"M","","","",741,18,"ELGI ROCD SPARES",0,0
"220377340","REDUCING HEX NIPPLE 1-1/2\"X3/4","","",null,785,18,"ELGI ROCD SPARES",0,0
"220377350","NIPPLE; HEX; REDU; 1X3/4\"NPT","","","",600,18,"ELGI ROCD SPARES",0,0
"220377810","O/C & A/C ASSY, SR1040, 640COR","","",null,251922,18,"ELGI ROCD SPARES",0,0
"220379150","MTG BRKT; AIR FILTER; 20S EPSA","","",null,2374,18,"ELGI ROCD SPARES",0,0
"220410010","ORIFICE DIA 2.5 E10","","",null,285,18,"ELGI ROCD SPARES",0,0
"220410030","RETAINER BRG E10","","","",264,18,"ELGI ROCD SPARES",0,0
"220410070","ORIFICE DIA 0.062 E10","","","",160,18,"ELGI ROCD SPARES",0,0
"220410110","SPACER I/P SHAFT","","","",549,18,"ELGI ROCD SPARES",0,0
"220410130","SPACER GEAR MALE ROTOR E10","","","",625,18,"ELGI ROCD SPARES",0,0
"220410140","SPACER; INBOARD BRG; D10-26","","","",455,18,"ELGI ROCD SPARES",0,0
"220410150","WASHER ROTOR MALE SHAFT","","","",314,18,"ELGI ROCD SPARES",0,0
"220410160","SPACER INBOARD BRG E12S","","","",497,18,"ELGI ROCD SPARES",0,0
"220410170","RETAINER; O/L BRG; D.127.B","","","",264,18,"ELGI ROCD SPARES",0,0
"220410200","SPACER; O/L BRG; 12S","","",null,587,18,"ELGI ROCD SPARES",0,0
"220410210","SPACER; ROTOR; D12B","","","",435,18,"ELGI ROCD SPARES",0,0
"220410230","RING; DISTANCE; MALE; 12S","","","",499,18,"ELGI ROCD SPARES",0,0
"220410320","TUBE; 3/8\"X104 LONG; 12S","","",null,640,18,"ELGI ROCD SPARES",0,0
"220410330","TUBE; O/L BRG; 1/2\"; 12S","","",null,1750,18,"ELGI ROCD SPARES",0,0
"220410410","RETAINER; BRG; 16S","","","",549,18,"ELGI ROCD SPARES",0,0
"220410450","SPACER; MA. O/L; 16S","","",null,3056,18,"ELGI ROCD SPARES",0,0
"220410460","SPACER; FE. O/L; 16S","","",null,2826,18,"ELGI ROCD SPARES",0,0
"220410470","ORIFICE; DIA 0.125","","",null,175,18,"ELGI ROCD SPARES",0,0
"220410480","RETAINER; GEAR; 16S","","",null,686,18,"ELGI ROCD SPARES",0,0
"220410490","SPACER; FE. I/L; 16S","","",null,737,18,"ELGI ROCD SPARES",0,0
"220410500","SPACER; MALE; I/L; 16S","","",null,649,18,"ELGI ROCD SPARES",0,0
"220410510","SPACER; DRIVE SHAFT; 16S","","",null,827,18,"ELGI ROCD SPARES",0,0
"220410520","SPACER; SEAL; 16S","","",null,417,18,"ELGI ROCD SPARES",0,0
